"Watchlist 
PROXIMAS 
as of 12/27/2025 at 06:52:30 AM"

Symbol,Last,$ Chg,% Chg,Bid,Ask,Volume,Quantity,Price,$ Total G/L,% Total G/L,Value,Basis,Day Range,52W Range,Earnings Date,Div Amt,Div Ex-Date
UGL,61.85,1.51,2.50,61.9,61.99,"5,319,943",100,52.4354,941.46,17.95,"6,185.00","5,243.54",61.37-62.46,22.80-62.46,--,0.00,--
IAU,85.34,1.00,1.19,85.35,85.61,"8,989,337",100,77.94,740.00,9.49,"8,534.00","7,794.00",84.94-85.68,49.00-85.68,--,0.00,--
IYR,94.32,0.10,0.11,93.98,94.92,"2,635,092",100,97.39,-307.00,-3.15,"9,432.00","9,739.00",93.88-94.38,81.53-99.62,--,0.8621,Dec-16-2025
VXUS,75.85,0.24,0.32,75.89,75.92,"5,872,018",100,74.7,114.99,1.54,"7,585.00","7,470.00",75.64-75.85,54.98-76.25,--,1.3631,Dec-19-2025
XLY,122.05,-0.54,-0.44,122.05,122.29,"4,197,048",100,239.93,"-11,788.00",-49.13,"12,205.00","23,993.00",121.88-122.78,86.55-123.63,--,0.2408,Dec-22-2025
AIA,97.08,1.09,1.14,91.45,99,"44,621",0,0,--,--,0.00,--,96.50-97.11,59.91-101.22,--,0.7376,Dec-16-2025
VWO,54.02,0.34,0.63,53.69,54.2,"8,210,022",0,0,--,--,0.00,--,53.74-54.02,39.53-56.04,--,1.0325,Dec-19-2025
VXUS,75.85,0.24,0.32,75.89,75.92,"5,872,018",0,0,--,--,0.00,--,75.64-75.85,54.98-76.25,--,1.3631,Dec-19-2025
VEA,62.81,0.13,0.21,62.81,62.95,"12,049,167",0,0,--,--,0.00,--,62.64-62.81,45.14-63.08,--,1.04,Dec-19-2025
MCHI,61.27,0.66,1.09,60.51,61.29,"981,583",0,0,--,--,0.00,--,60.81-61.28,43.70-67.37,--,0.735,Dec-16-2025
FBTC,76.28,0.26,0.34,75.89,76.35,"5,827,765",0,0,--,--,0.00,--,75.40-77.58,66.06-110.25,--,0.00,--
IBIT,49.61,0.15,0.30,49.52,49.54,"38,333,126",0,0,--,--,0.00,--,49.07-50.50,42.98-71.82,--,0.00,--
URA,45.88,-0.68,-1.46,45.81,46.5,"2,218,390",100,44.75,113.00,2.53,"4,588.00","4,475.00",45.48-46.55,19.50-60.50,--,0.7414,Dec-30-2024
UUP,26.97,0.02,0.07,25.7,27.2,"743,496",0,0,--,--,0.00,--,26.92-27.00,26.80-29.90,--,0.9269,Dec-22-2025
VGT,767.17,0.85,0.11,766,769.16,"329,461",0,0,--,--,0.00,--,765.49-769.30,451.00-806.99,--,0.757,Dec-17-2025
ASMLF,"1,106.00",36.00,3.36,1058.13,1117.07,482,0,0,--,--,0.00,--,"1,036.70-1,106.00","585.54-1,139.29",--,1.8836,Oct-29-2025
TSM,302.84,4.04,1.35,302.94,303.2,"5,125,913",0,0,--,--,0.00,--,298.52-303.38,134.25-313.98,Jan-19-2026,0.9678,Mar-17-2026

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
