"Positions 
All Accounts 
as of 12/27/2025 at 06:58:51 AM"

Symbol,Quantity,Last,Div Amt,Div Pay Date,Div Local,Div Ex-Date,$ Chg,% Chg,Bid,Ask,Volume,$ Avg Cost,$ Day G/L,% Day G/L,$ Total G/L,% Total G/L,Value,% of Acct,Basis,Day Range,Earnings Date
REIT,1.859,26.3754,0.2073,Dec-23-2025,0.2073,Dec-18-2025,0.0048,0.02,21.95,26.45,"13,220",26.9,0.00,0.01,-0.97,-1.94,49.03,3.05,50,26.29-26.43,--
Cash (SPAXX),103.55,1.00,0.0032,Nov-3-2025,0.0032,Nov-3-2025,0.00,0.00,--,--,0,--,--,--,--,--,103.55,6.43,--,0.00-0.00,--
QQQ,0.477,623.89,0.7941,Dec-31-2025,0.7941,Dec-22-2025,-0.04,-0.01,623.2,623.29,"28,959,778",604.49,-0.02,-0.01,9.25,3.20,297.60,18.49,288.34,623.14-625.52,--
SLV,1.162,71.12,0.00,--,0.00,--,5.90,9.05,71.6,71.64,"139,161,231",70.56,6.85,9.04,0.65,0.79,82.64,5.13,81.99,67.34-71.22,--
TLT,2.566,87.74,0.3424,Dec-24-2025,0.3424,Dec-19-2025,-0.29,-0.33,87.71,87.75,"26,522,734",89.52,-0.75,-0.33,-4.56,-1.99,225.14,13.99,229.7,87.60-88.17,--
RGTI,1.056,22.38,0.00,--,0.00,--,-2.13,-8.69,22.45,22.46,"28,311,070",23.66,-2.25,-8.70,-1.35,-5.40,23.63,1.47,24.98,22.33-24.37,Mar-3-2026
GLD,0.506,416.74,0.00,--,0.00,--,4.81,1.17,416.46,416.93,"10,476,234",393.87,2.43,1.16,11.57,5.80,210.87,13.10,199.3,414.75-418.45,--
SCHD,2.939,27.64,0.2782,Dec-15-2025,0.2782,Dec-10-2025,-0.02,-0.07,27.62,27.63,"15,949,446",27.21,-0.06,-0.08,1.26,1.58,81.23,5.05,79.97,27.51-27.70,--
SMH,0.128,365.86,1.1047,Dec-26-2025,1.1047,Dec-22-2025,1.69,0.46,365.31,365.78,"2,921,277",348.59,0.21,0.46,2.21,4.95,46.83,2.91,44.62,364.49-367.35,--
VOO,0.511,634.84,1.771,Dec-24-2025,1.771,Dec-22-2025,0.06,0.01,634.56,634.73,"3,852,111",608.59,0.03,0.00,13.41,4.31,324.40,20.15,310.99,633.88-636.08,--
VTI,0.727,339.67,0.9508,Dec-24-2025,0.9508,Dec-22-2025,-0.21,-0.06,339.63,339.73,"3,543,603",330.56,-0.16,-0.07,6.62,2.75,246.94,15.34,240.32,339.17-340.32,--

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
